,title,company,location,salary,summary
462,"
Data Scientist Position (Audio Analytics)","
Sciffer Analytics Private Limited","Pune, Maharashtra","

₹5,00,000 a year
",We are looking for data scientists with a strong background in both deep learning and audio & speech to help develop better and more creative models in the area…
463,"
Data Scientist","
Kwalee","Bengaluru, Karnataka",nan,Build data solutions to solve business problems.
464,"
Young Professional","
NITI, Aayog","Delhi, Delhi","

₹60,000 a year
","Recruitment to the position of Young Professionals, NITI Aayog."
465,"
Computer Operator","
AI Engineer","Kolhapur, Maharashtra","

₹17,000 - ₹25,000 a month
",Enter and updates data daily.
466,"
Data Scientist - Technology Development","

Micron","Hyderabad, Telangana",nan,5+ years to data science and machine learning.
467,"
Sr Manager - III-Data Science","

citius tech","Mumbai, Maharashtra",nan,15 to 20 years with last 7 years in Data Science.
468,"
Internship in Business Analytics & Data Science","
Shri TirupatiI Balaji Education Foundation","Chennai, Tamil Nadu","

₹3,60,000 - ₹5,90,000 a year
",Candidates will be trained for 5 months and after that will be placed in MNC's.
469,"
Customer Engineer","

Microsoft","New Delhi, Delhi",nan,Business intelligence – combining knowledge of SSIS/SSAS/SSRS/AAS/Azure Data Factory/Power BI technologies with a deep understanding of data structure / data…
470,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
471,"
Manager","

Pfizer","Visakhapatnam, Andhra Pradesh",nan,Sterile injectable manufacturing and regulatory data requirements for submission.
472,"
Data Operations Team Leader - Customer","

bp","Pune, Maharashtra",nan,Drive data science fuelled operations - ensuring analytics driven operations and support transformation of data operations to an intelligent digital operation.
473,"
Data & Email Marketing Analyst","
Teamwork Arts Pvt Ltd","Delhi, Delhi","

₹30,000 - ₹35,000 a month
",Acquire data from primary or secondary data sources and maintain databases/data systems.
474,"
Director - Clinical Data Standards","

Novartis","Hyderabad, Telangana",nan,"BA/BS/MS or equivalent experience in mathematics, statistics, computer science, health sciences or related field with At least 15 years broad experience in…"
475,"
Volunteer Engagement Officer","

Educate Girls","Indore, Madhya Pradesh",nan,Districts and ensure data entry and analysis for VE related activities and outcomes.
476,"
HD Map Data Collector Dev Engineer","

Mercedes-Benz Research and Development India Priva...","Bengaluru, Karnataka",nan,2 to 4 years of experience in Software development.
477,"
Consultant","

Deloitte","Bengaluru, Karnataka",nan,"You should reimagine everything—relationships, data, markets, the workforce, and more."
478,"
Associate Data Scientist","

Gap Inc.","Hyderabad, Telangana",nan,"Transform large amounts of data across a diverse set of subject areas, collaborating with other data platform engineers where optimal to prepare data pipelines…"
479,"
Data Analyst","

Lenskart","Faridabad, Haryana",nan,"Manipulate, cleanse and interpret data from multiple data sources, required."
480,"
Data Engineer","

Colgate-Palmolive",nan,nan,"This role requires a deep understanding of data engineering, data analysis, reporting, and a basic understanding of data science techniques and workflows."
481,"
DT Intern","

General Electric","Bengaluru, Karnataka",nan,"Strong in software programming, data analytics & data engineering-Strong communication and documentation ability."
482,"
Data Conversion Trainee","

TNQ","Chennai, Tamil Nadu",nan,Graduates from Computer Science background - B.
483,"
Manager, Data Science","
Aera Technology","Pune, Maharashtra",nan,This role is an ideal opportunity for someone who enjoys working on new and challenging data science problems as well as managing a team of high performing data…
484,"
Director Business Analytics & Insights","

Microsoft","Hyderabad, Telangana",nan,This role will require deep hands-on expertise on aspects of analytical frameworks including aspects of data engineering and data sciences required to create…
485,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
486,"
Data Engineer - QuantumBlack","

McKinsey & Company","Gurgaon, Haryana",nan,"Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches."
487,"
Data Scientist","
Fundnel Pte Ltd","Mumbai, Maharashtra",nan,"Familiarity with data engineering methodologies, including SQL, ETL and experience in manipulating data sets with structured and unstructured data using Hadoop,…"
488,"
Software Engineer","

Microsoft","Hyderabad, Telangana",nan,Create language models from petabytes of text data in different languages.
489,"
Senior Data Scientist","

Razorpay","Bengaluru, Karnataka",nan,"Run data exploration to understand relationships and patterns within the data, develop data visualisation to represent and be able to demonstrate the…"
490,"
Software Developer I & II (C#, SQL & Angular)","
ATGBS","Hyderabad, Telangana","

₹5,00,000 - ₹10,00,000 a year
",Knowledge of Microsoft SQL Server with the ability to write SQL queries to pull and manipulate data.
491,"
DATA VISUALIZER – NODEJS D3 REACT","
Careator Technologies",India,nan,Data Visualizer – NodeJS D3 React.
492,"
Data Scientist","
Biz2Credit Inc","Noida, Uttar Pradesh",nan,"We believe that there is a tremendous opportunity to leverage cutting-edge data science to inform smarter, faster decision making."
493,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
494,"
Senior Analyst - IT Data Tools","

SG Analytics","Hyderabad, Telangana",nan,"SG Analytics is a leading provider of data-centric research and contextual analytics services globally to companies across BFSI, Media & Entertainment,…"
495,"
Manager, Business Intelligence & Data Science","
iSOCRATES","Mysore, Karnataka",nan,Lead identification of appropriate data science models and evaluate their fitment for the available data.
496,"
Customer Support Manager","
Digital Guardian","Hyderabad, Telangana",nan,Digital Guardian sets the standard on how to protect data!
497,"
Python Engineer – NLP","
CodeData",India,nan,The ideal candidate will have industry experience solving language-related problems on vast quantities of data.
498,"
Intern - Fresher","

IQVIA","Bengaluru, Karnataka",nan,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…"
499,"
Data mining analyst (Part","
Arsh Biotech",India,nan,Essential Qualifications: Bachelors in any of the Life Sciences (Students undertaking Bachelors may also apply).
500,"
Associate Director/Director - Commercial Operation Life Scie...","

Axtria Inc","Gurgaon, Haryana",nan,"Our cloud-based platforms - Axtria DataMax™, Axtria InsightsIQ™, Axtria SalesIQ™, and Axtria MarketingIQ™ - enable customers to efficiently manage data,…"
501,"
Data Engineer For Freshers","
Data Analytics","Chennai, Tamil Nadu","

₹18,000 - ₹25,000 a month
",Troubleshoot rotating machinery and static equipment issues through data analysis.
502,"
Intern-DFM Data Analyst","

GLOBALFOUNDRIES","Bengaluru, Karnataka",nan,Big data skills: Spark/Pyspark/Scala/Spark SQL.
503,"
Research Analyst Intern","
Terra Economics & Analytics Lab (TEAL)","New Delhi, Delhi",nan,"It was exciting and challenging to work on mining huge volumes of property records; extracting patterns from the data, building data pipelines and brainstorming…"
504,"
Data Analyst","

BuzzBoard","Hyderabad, Telangana",nan,Acquire data from primary or secondary data sources and maintain databases/data systems.
505,"
OCR Programmer","

Integra Global Solutions",Remote,"

₹7,00,000 - ₹15,00,000 a year
",Bachelor's degree in science and technology.
506,"
Data Analyst","
Tekion","Bengaluru, Karnataka",nan,Develop custom data models and algorithms to apply to data sets.
507,"
Sr BT Analyst - Data Engineer","

Syneos Health Clinical","Hyderabad, Telangana",nan,Basic knowledge of big data technologies such as Hadoop.
508,"
Data Analyst","
StartApp","Bengaluru, Karnataka",nan,Experience working in big data environments.
509,"
Data Scientist","
KhataBook","Bengaluru, Karnataka",nan,Develop custom data models and algorithms to apply to data sets.
510,"
Data Scientist","

American Express Global Business Travel","Gurgaon, Haryana",nan,"The data science solutions engineer will be a member of the data analytics team and will lead efforts around building big data, data science, data quality, and…"
511,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
512,"
Program Assistant","

Educate Girls","Fatehpur, Uttar Pradesh",nan,Employment type Renewable fixed term contract.
513,"
Process Specialist","

Cognizant","Hyderabad, Telangana",nan,Report team performance data at the desired frequency.
514,"
Applications Developer 3","

Oracle","Hyderabad, Telangana",nan,Tech in Computer science or related field.
515,"
Research Intern","
EPIC-INDIA","Delhi, Delhi",nan,"Strong written and verbal communication skills, with the ability to present data in a simple and straightforward way for non-technical audiences required."
516,"
Deep Learning Engineer","
Imfinite HR Solutions","Pune, Maharashtra","

₹3,00,000 - ₹7,00,000 a year
",Deep knowledge of Algorithm & data structure design is required.
517,"
Technical Consultant - Data Migration","
Mitratech","Hyderabad, Telangana",nan,Mitratech is a proven global technology partner for corporate legal and compliance teams.
518,"
Big Data Engineer","
PayU","Gurgaon, Haryana",nan,"Experience processing large amounts of structured and unstructured data, including integrating data from multiple sources."
519,"
Big Data Architect","

NCR","Gurgaon, Haryana",nan,"Expertise with cloud computing, distributed computing, big data architecture, data governance, data visualization platforms in the cloud."
520,"
Junior Data Scientist","
Soothsayer Analytics","Hyderabad, Telangana",nan,Mine data to prototype models for targeting and personalization.
521,"
English Tutor","
Mastree","Delhi, Delhi","

₹17,000 - ₹25,000 a month
",Mastree is an online tutoring solution that aims to strengthen fundamentals of students through.
522,"
Software Developer ( Artificial Intelligence)","
Amordiscoveryskills","Bengaluru, Karnataka","

₹50,000 a month
",We are seeking a highly motivated data scientists to join the data science team.
523,"
Senior Data Analyst - Intelligence","
Compass","Hyderabad, Telangana",nan,"Experience in data science, or analytics is a plus."
524,"
R&D Quality Data Engineer","

PerkinElmer","Thane, Maharashtra",nan,They should be knowledgeable in data analytics and data processing from different sources.
525,"
Data Engineer 1","

Lenskart","Bengaluru, Karnataka",nan,"Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets."
526,"
Junior Programmer","

GSK","Bengaluru, Karnataka",nan,"Responsible for programming and QC of data analysis outputs (e.g., analysis datasets, tables, figures and listings for regulatory submissions and publications)…"
527,"
Hiring Data Scientist","
Pacifix Research","Shivajinagar, Pune, Maharashtra","

₹18,000 - ₹23,000 a month
","Defines company data assets (data models), spark, sparkSQL, and hiveSQL jobs to populate data models."
528,"
Internship Training","
Cyber Flax Pvt. Ltd","Hyderabad, Telangana","

₹10,000 a month
","Understanding of algorithms and data structures and how to efficiently implement them into a solution producing clear, efficient, and concise code."
529,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
530,"
Director, Medical Information","
GRAIL, Inc.","Alwal, Hyderabad, Telangana",nan,"The company is using the power of next-generation sequencing, population-scale clinical studies, and state-of-the-art computer science and data science to…"
531,"
Staff Data Analyst","
Twilio","Bengaluru, Karnataka",nan,"Work with product managers to inject data into decision making and planning to increase confidence in anti-fraud outcomes via defining KPI, designing and…"
532,"
Sr. Data Science & AI Engineer (Java,Python)","
iCliniq",Remote,nan,"We are looking for Sr. Data Science & AI Engineers who are passionate in developing Machine Intelligent Applications using Java, Python, Neo4J and deep learning…"
533,"
Data Science Engineer, SMART MFG & AI","

Micron","Hyderabad, Telangana",nan,"Work with an international team of data scientists, data engineers, software engineers and I4 analysts in a collaborative manner to develop new data science…"
534,"
Junior Data Analyst","
GroundTruth","Gurgaon, Haryana",nan,Develop re-usable tools and templates to quickly create data driven narratives.
535,"
Data Scientist","
Emerging India Group",India,nan,"Experience with common data science toolkits, such as R, Python etc."
536,"
POLITICAL SCIENCE INTERN","
PICK MY SLOT","T Nagar, Chennai, Tamil Nadu","

₹15,000 a month
",O Collect and analyze data from sources such as public opinion survey.
537,"
Global Medical Data Scientist","

GSK","Bengaluru, Karnataka",nan,This role will appropriately translate unstructured data into structured data to integrate with other data and analyses for use with insight discovery.
538,"
Jr. Data scientist","

Blackstraw","Chennai, Tamil Nadu",nan,"Define and develop, maintain and evolve data models, tools and capabilities."
539,"
Lead Analyst- Data Science","

Infosys Limited","Bengaluru, Karnataka",nan,"Basic understanding of data warehouse architecture,."
540,"
Data Science | 6 to 9 years | Bengaluru & Hyderabad","

Capgemini","Bengaluru, Karnataka",nan,"Hands on experience in Python, PySpark, MLib, Spark/Mesos."
541,"
Business Analyst Internship","

Angaros (India) Private Limited","Hyderabad, Telangana","

₹5,000 - ₹7,000 a month
","Analyzing internal processes, data, and problems 4."
542,"
Consultant, Data Science and Analytics","

TransUnion","Chennai, Tamil Nadu",nan,We also have a modern computing environment based on best-in-class “big data” technologies and the freedom to explore new data sources and statistical and…
543,"
Research Analysis part time job/internship at Chandigarh, Gu...","
Crimson Insights Technologies LLP","Chandigarh, Chandigarh","

₹10,000 a month
",Crimson Insights primarily deals in patent support services and software development services.
544,"
Data Engineer","
Ocrolus","Gurgaon, Haryana",nan,"Significant experience as a technical lead for previous data warehouse, data lake, or other distributed data system implementations."
545,"
Data Scientist Lead","
ANI Calls India Private Limited","Hyderabad, Telangana","

₹7,20,000 - ₹10,80,000 a year
","Experience working in data science support teams working on recommendations, relationships, or connecting people to one another."
546,"
Data Security Engineer","

Apple","Hyderabad, Telangana",nan,The people here at Apple don’t just build products — they build the kind of wonder that’s revolutionized entire industries.
547,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
548,"
Senior Programmer","
CCS Computers","New Delhi, Delhi",nan,Tech Lead in deep learning to port cutting-edge Sentiment Analysis/ deep learning/ machine learning/ other models onto multi-GPU existing CPU based models to…
549,"
Data Scientist","

Hitachi","Hyderabad, Telangana",nan,Must have led a team of data engineers and data scientists in leading data science engagements.
550,"
Data Engineer I","

Honeywell","Gurgaon, Haryana",nan,"Experience with data blending/data virtualization tools like Paxata, Dremio, etc."
551,"
CIB - Secuirities Services Operations - Data Analytics & Dat...","

JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",nan,Working knowledge of industry wide data quality toolsets to support identified data validation and remediation.
552,"
Data Science & Analytic","

CODEC Networks","Delhi, Delhi",nan,1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.
553,"
Data scientist","
Cyware","Bengaluru, Karnataka",nan,"Design and deploy applications based on data science models by developing,."
554,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
555,"
Sr. Data Scientist","
Claim Genius Making touchless claims a reality","Hyderabad, Telangana",nan,"Strong coding skills and fundamentals in data structures, predictive modelling and big data concepts."
556,"
Data Modelers","
Triumphant ITCS",India,nan,Implement business processes and define test data.
557,"
Data science-phd","
Novotree Minds Consulting Private Limited","Bengaluru, Karnataka",nan,Looking for a cand who is having good experience into(Only for PHD Cand) other Graduates dont apply.
558,"
Data Engineer 6760","

Fanatics Inc.","Hyderabad, Telangana",nan,"Must have experience in building data platform – designing and building data model, integrate data from many sources, build ETL and data-flow pipelines, and…"
559,"
Data Scientist (Forecasting, SAS)","

Mondelēz International",India,nan,Should be able to articulate data science outcome into business understandable language.
560,"
Data Scientist","
Inference Labs","Bengaluru, Karnataka",nan,Understand and provide data science domain expertise for the new solutions & offerings.
561,"
Internship PCB designer for Science / Electrical / Electroni...","
Akiwate Electronics Design","Pune, Maharashtra","

₹3,000 a month
",Job Responsibilities and Duties: PCB design and electronics data work.
562,"
Associate Partner – CPT Data Supply Chain LT00","

IBM",India,nan,"Own the offerings and assets on key components of data supply chain, data governance & curation, data quality and master data management, data integration, data…"
563,"
DBA","

EY","Bengaluru, Karnataka",nan,Participates in data modeling and database logical and physical design.
564,"
Sr. Data Scientist","
VMock Inc","Gurgaon, Haryana",nan,Atleast 5 years of data science and machine learning experience.
565,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
566,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
567,"
Data Engineer: Big Data","

IBM","Hyderabad, Telangana",nan,"Demonstrated ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers."
568,"
Software Engineer For Freshers","
Associate Software Engineer","Hyderabad, Telangana","

₹18,000 - ₹25,000 a month
","Develop data, process and network models to optimize architecture and to evaluate the performance and reliability of designs."
569,"
Trainee","

Nokia",India,nan,Studying Bachelors or Master's Degree in Engineering ( Compueter science / Electronics and communications ).
570,"
Research Associate II","

Philips","Bengaluru, Karnataka",nan,PhD OR Masters with experience in machine learning/artificial intelligence /data science or any other related discipline.
571,"
Salesforce Developer/Administrator","
SSB TEK INC","Hyderabad, Telangana","

₹20,000 - ₹70,000 a month
","Experience with data integrity, data quality, data migration and data maintenance."
572,"
Senior Specialist - Data Engineer","

Philips","Bengaluru, Karnataka",nan,"The Data Engineer will support our software developers, data architects, data analysts and data scientists throughout the lifecycle of the data projects."
573,"
Hadoop and Big Data Developer (51005725)","

DXC","Hyderabad, Telangana",nan,"Bachelor's degree in computer science, engineering or related field preferred."
574,"
Cloud Data Architect, Google Cloud, Professional Services","

Google","Bengaluru, Karnataka",nan,"Experience in big data, information retrieval, data mining or machine learning."
575,"
Senior Data Engineer","

Visa","Bengaluru, Karnataka",nan,Strong algorithms and data structures.
576,"
Data Management SME","

Société Générale",India,nan,"Ø Previous experience with Data management and Data governance, and/or implementation of data quality, data lineage, metadata management, including experience…"
577,"
SR DATA Scientist","

Larsen & Toubro Infotech Limited",India,nan,"Python • Machine Learning and Deep Learning • Natural Language Processing • TensorFlow, PyTorch Develops and reviews complex data analytics models, algorithms,…"
578,"
Team Leader","

Cognizant","Hyderabad, Telangana",nan,Ensures data integrity of data presented to client.
579,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
580,"
Artificial Intelligence Engineer","
Unusual Hire","Bengaluru, Karnataka",nan,Pulling the right data from databases.
581,"
Sr. Risk Consulting Associate - Data Science","

Moody's Corporation","Gurgaon, Haryana",nan, Operate and extend the data science platform to deliver production-grade data curation and analysis services.
582,"
Building Sciences / Civil Engineers or Technologists","
IRC Building Sciences Group",Orissa,nan,"Knowledge in areas related to building science such as thermodynamics, heat transfer and psychometrics."
583,"
Customer Engineer, Machine Learning, Google Cloud","

Google","Mumbai, Maharashtra",nan,Experience in and understanding of data and information management - especially as it relates to big data trends and issues within businesses.
584,"
Research Analyst","

Clarivate Analytics","Hyderabad, Telangana",nan,Proofreads trademark data editing where necessary to ensure accuracy of data entry.
585,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
586,"
Trainee -Data Scientist","

People Interactive Pvt Ltd.","Mumbai, Maharashtra",nan,"We deal with all kinds of structured/unstructured (image, text, etc) data and build data-driven solutions to solve customer problems."
587,"
Primary Science Content Developer (IN)","
Nagwa","Bengaluru, Karnataka","

₹400 a day
",Ask Nagwa to stop processing data for a period if data is inaccurate or there is a dispute about whether or not your interests override Nagwa's legitimate…
588,"
Business Process Expert, Quality Sys PLM","

Novartis","Hyderabad, Telangana",nan,Where you’re given opportunities to explore the power of digital and data.
589,"
Support Representative","

Oracle","Bengaluru, Karnataka",nan,Build thorough cases through collection of relevant data.
590,"
Data Analyst II, DBXB","

Dun & Bradstreet","Hyderabad, Telangana",nan,"Develop: Build data mapping transformation code using your proven working knowledge of XML, C#, MSSQL, MongoDB, MS-Office tools • Test: Independently and in…"
591,"
Clinical Programmer","

Novartis","Hyderabad, Telangana",nan,Responsible for Study Conduct activities that includes Conformance of Clinical data to internal Novartis data formats and continuous flow of data to downstream…
592,"
Test Engr II","

Honeywell","Bengaluru, Karnataka",nan,Effectively using data to make intelligent decisions.
593,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
594,"
Data Migration Specialist","
MRI Software","Bengaluru, Karnataka",nan,Ensure data migrations are delivered with accuracy.
595,"
Manager, Reporting and Analytics","
AlignTech","Hyderabad, Telangana",nan,Strong quantitative analysis and data mining skills.
596,"
Data Analysis Internship","
Scient Capital Private Limited","Mumbai, Maharashtra","

₹15,000 - ₹25,000 a month
",Working on data organization and segregation 2.
597,"
Software Trainee (Netsuite Consultant)","

Amzur Technologies",Remote,"

₹15,000 a month
","As a member of a project team, follows standard practices and procedures to analyze situations/data and provide quality work products to deliver functional and…"
598,"
Cobol Senior Developer","

FIS Global","Pune, Maharashtra",nan,Works independently on significant and unique issues where analysis of situations or data requires an evaluation of intangibles.
599,"
Data Scientist","
Entytle",Maharashtra,nan,Use best practices in applying and deploying data science at scale.
600,"
Data Engineer III","

HP","Bengaluru, Karnataka",nan,Designing data systems/solutions to manage complex data.
601,"
Data Engineer","

Luxoft","Bengaluru, Karnataka",nan," Have good domain knowledge and deliver with more autonomy, but need occasional guidance on computer science skills like data structures, algorithms."
602,"
Sr. Data Scientist / Machine learning Expert","
Bidgely","Bengaluru, Karnataka",nan,Strong intuition for data and Keen aptitude on large scale data analysis.
603,"
Staff Data Scientist","

Walmart","Bengaluru, Karnataka",nan,Proven ability to lead agile data science sprint projects.
604,"
Data Engineer, India – ED&A ICC","

Nike","Bengaluru, Karnataka",nan,Nike has embraced big data technologies to enable data-driven decisions.
605,"
Data Scientist","

Larsen & Toubro Infotech Limited",India,nan,Must have minimum of 4+ years of industry experience in developing data science models.
606,"
Data Engineer","
Ttec Digital Analytics India LLP","Hyderabad, Telangana",nan,Work within our proprietary big data cloud computing platform to create data science products for our customers.
607,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
608,"
Senior Business Analyst - Event Coordinator","

Sanofi","Hyderabad, Telangana",nan,"Event Coordinator generates insights based on data collected, leveraging further data from Sanofi."
609,"
Data Scientist","
Netradyne","Bengaluru, Karnataka",nan,"Perform data wrangling tasks such as acquiring, cleaning, structuring and enriching data."
610,"
Sr. SAP Data Migration Consultant","
SYNITI","Hyderabad, Telangana",nan,"Extensive data quality and data migration experience including proficiency in data warehousing, data analysis and conversion planning for data migration…"
611,"
Safety & PV Coordinator","

Syneos Health Clinical",Delhi,nan,"Redacts patient identifying information/ images in accordance with data protection guidelines, ICH GCP and GVP."
612,"
VP (Learning & Design)","
WhiteHat Jr","Mumbai, Maharashtra",nan,"Work with data analysts/scientists to develop analytical models to correlate learning outcomes data with key drivers of learning outcomes like engagement,…"
613,"
Data Expert","
Traction on Demand","Jaipur, Rajasthan",nan,"Conducting data audit, cleansing and de-duplication projects to clean data."
614,"
Data Scientist","

Amazon Dev Center India - Hyd","Hyderabad, Telangana",nan,"5+ years of experience in data extraction, transformation, statistical analysis and data modeling."
615,"
Collaboration Administrator/Data Analyst","
AI Engineer","Trichur, Kerala","

₹17,000 - ₹25,000 a month
","Review system data, scrub and create reports."
616,"
Associate Scientist","

Syngene","Bengaluru, Karnataka",nan,"Writing of Laboratory Note Books, tractability of raw data, analysis and study report to ensure data integrity."
617,"
Specialist","

Microsoft","Mumbai, Maharashtra",nan,"You will help customers evaluate their cloud strategy, determine approaches to application and data migration and modernization, and recommend solutions that…"
618,"
Associate Data Scientist II","

UST Global Singapore Pte Limited","Thiruvananthapuram, Kerala",nan,Expertise in various data integration/ETL tools; application integration; business process and data science tools.
619,"
Officer","

Citi","Pune, Maharashtra",nan,"Experience working with large and multiple datasets, data warehouses and ability to pull data using relevant programs and coding."
620,"
Assistant Professor – Data Science & Information Systems","
Krea University","Chittoor, Andhra Pradesh",nan,We are looking for applicants who hold a PhD in computer science/information systems from a reputable university and show evidence of quality research in the…
621,"
Data Analytics Internship","
Wealth Bucket","Delhi, Delhi","

₹5,000 - ₹7,000 a month
",Analyze and maintain the data 2.
622,"
Software Engr II","

Honeywell","Hyderabad, Telangana",nan,Ensures appropriate test data is defined and available in the test environment.
623,"
Research Economist","

Center for Study of Science, Technology and Policy...","Bengaluru, Karnataka","

₹40,000 a month
",O Develop and implement robust data collation using statistical techniques.
624,"
DevOps - Big Data","

Apple","Hyderabad, Telangana",nan,"Experience in Workflow and data pipeline orchestration (Airflow, Oozie, Jenkins etc.)."
625,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
626,"
Research Assistant","

Healing Fields Foundation","Banjara Hills, Hyderabad, Telangana",nan,Responsibilities:Design surveys and reporting tools that provide the organisation with data for programme execution and analysis of programme impact Coordinate…
627,"
S&OP & Demand Planning Executive - Trading","

Imerys","Pune, Maharashtra",nan,"Prepares all data, metrics and scenarios to be discussed during S&OP meetings."
628,"
Senior Associate - IReady-JOB#0980","
Freyr","Hyderabad, Telangana",nan,Ability to effectively review and authorize the ingredient data.
629,"
Consultant/Senior Consultant – Data Science","

Absolutdata","Pune, Maharashtra",nan,Lead and groom the pool of data scientists for solving complex problems using data science.
630,"
Data Analytics part time job/internship at Noida","
CMP Digital Media","Noida, Uttar Pradesh","

₹3,000 - ₹4,000 a month
",Understand business requirements efficiently pull and query business data using SQL.
631,"
UX Researcher","
Elucidata Data Consulting Private Limited","New Delhi, Delhi",nan,(Candidates with a science or data science background will be preferred.).
632,"
Literature Specialist","

GSK","Bengaluru, Karnataka",nan,Bachelor’s Degree - Life sciences.
633,"
Analytics Engineer","

Gaian Solutions","Hyderabad, Telangana",nan,The Opportunity: Come Build the Next-Gen Hi-Tech Product Platform.
634,"
Sr. Associate - Projects","

Cognizant","Kochi, Kerala",nan,"Bachelors in science , engineering or equivalent."
635,"
Application Specialist","

Molbio Diagnostics","Pune, Maharashtra",nan,Issues by gathering the relevant data.
636,"
Data Analyst","
21st Century Talent Services Private Limited","Hyderabad, Telangana",nan,Applying statistical analysis Designing and creating data reports to help stakeholders make better decisions Identifying partialities in data acquisition and…
637,"
Analyst- SQL Developer - Clients & Marketing Organization -...","

Deloitte","Hyderabad, Telangana",nan,"About Technology CoE Technology CoE offers innovative solutions that enable CMO to execute with agility, drive closed-looped marketing, and achieve operational…"
638,"
Data Scientist with experience in customer data analysis","
ifood web media technologies","Delhi, Delhi","

₹30,000 - ₹45,000 a month
","Responsible for identifying data requirements, data collection, data processing, data cleaning, and working on exploratory and Prescriptive data Analysis; which…"
639,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
640,"
Medical Editor","
Turacoz","Pune, Maharashtra",nan,"Interpretation and Presentation of Data: writing scientific documents involves review and interpretation of research data, presentation of those data in text,…"
641,"
Senior Data Scientist","

Microsoft","Hyderabad, Telangana",nan,"We also offer many company-sponsored classes and conferences that focus on data science, ML, and engineering excellence."
642,"
Data Scientist","
Sequretek","Bengaluru, Karnataka",nan,Techniques to real-world data sets.
643,"
2549 - Senior Statistical Programmer","

Cytel, India",India,nan,Ability to work on data migration from legacy datasets to standards such as CDISC or any other client specific standard.
644,"
Director of Engineering","
Trundl","Hyderabad, Telangana",nan,"Build a culture of weekly shipments, data-driven decisions, automation, documentation, and continuous feedback."
645,"
Data Scientist","
SearchUrCollege","Noida, Uttar Pradesh",nan,Travel and engage clients directly to translate their business needs into implementable science.
646,"
Senior Manager, Data Science","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
647,"
Sr. Data Engineer - GCP","
SpringML","Hyderabad, Telangana",nan,"Exposure to machine learning, data science, artificial intelligence & statistics Presentation skills with a high degree of comfort speaking with management and…"
648,"
Trainee, Media Co ordinator","

Hudson's Bay Company","Bengaluru, Karnataka",nan,What This Position Is All About:
649,"
Cluster Coordinator - (8 Posts)","

United Nations Development Programme (UNDP)","Joshimath, Uttarakhand",nan,Responsible for maintaining data sets: ensure that this data is updated and submitted at regular intervals.
650,"
Python Developer","
FinAcPlus","Madhapur, Hyderabad, Telangana",nan,Bachelor’s Degree in Computer science and other equivalent qualifications.
651,"
Java Platform Engineer","
John Meridian","Hyderabad, Telangana","

₹14,50,000 a year
",Bachelor's degree in computer science.
652,"
Associate Director","

Larsen & Toubro Infotech Limited",India,nan,These profiles are required for us to setup ‘IT Data insights COE’ team (which was … remaining associates are going to be Elite / Premium hires (who is…
653,"
Image Processing Internship","
Agilebot Automation Private Limited","Bengaluru, Karnataka","

₹12,000 - ₹16,000 a month
",Interface with the camera hardware/board to handle the input data stream.
654,"
Senior Research Associate","

Cognizant","Hyderabad, Telangana",nan,Monitor the research landscape and identify alternative and other data sources and mechanisms to collect data more efficiently and effectively.
655,"
IT Software Developer (IDC)","

flydubai",nan,nan,"Build applications (stand alone as well as plugins) that fetch data from existing system/s, manipulate them and perform new business functions."
